,Date,Open,Time
163,02/09/2021,1.3814,1612828800.0
164,02/10/2021,1.3828,1612915200.0
165,02/11/2021,1.3815,1613001600.0
166,02/12/2021,1.3815,1613088000.0
167,02/14/2021,1.3844,1613260800.0
168,02/15/2021,1.3903,1613347200.0
169,02/16/2021,1.3901,1613433600.0
170,02/17/2021,1.3853,1613520000.0
171,02/18/2021,1.3971,1613606400.0
172,02/19/2021,1.3971,1613692800.0
173,02/21/2021,1.4014,1613865600.0
174,02/22/2021,1.4061,1613952000.0
175,02/23/2021,1.411,1614038400.0
176,02/24/2021,1.4139,1614124800.0
177,02/25/2021,1.4013,1614211200.0
178,02/26/2021,1.4013,1614297600.0
179,02/28/2021,1.3932,1614470400.0
180,03/01/2021,1.3922,1614556800.0
181,03/02/2021,1.3953,1614643200.0
182,03/03/2021,1.3953,1614729600.0
183,03/04/2021,1.3894,1614816000.0
184,03/05/2021,1.3894,1614902400.0
185,03/07/2021,1.3841,1615075200.0
186,03/08/2021,1.3824,1615161600.0
187,03/09/2021,1.3893,1615248000.0
188,03/10/2021,1.393,1615334400.0
189,03/11/2021,1.399,1615420800.0
190,03/12/2021,1.399,1615507200.0
191,03/14/2021,1.3922,1615680000.0
192,03/15/2021,1.3893,1615766400.0
193,03/16/2021,1.3887,1615852800.0
194,03/17/2021,1.3963,1615939200.0
195,03/18/2021,1.392,1616025600.0
196,03/19/2021,1.392,1616112000.0
197,03/21/2021,1.3868,1616284800.0
198,03/22/2021,1.3863,1616371200.0
199,03/23/2021,1.375,1616457600.0
200,03/24/2021,1.3683,1616544000.0
201,03/25/2021,1.3732,1616630400.0
202,03/26/2021,1.3732,1616716800.0
203,03/28/2021,1.3785,1616889600.0
204,03/29/2021,1.3759,1616976000.0
205,03/30/2021,1.3739,1617062400.0
206,03/31/2021,1.3779,1617148800.0
207,04/01/2021,1.383,1617235200.0
208,04/02/2021,1.383,1617321600.0
209,04/04/2021,1.3829,1617494400.0
210,04/05/2021,1.3897,1617580800.0
211,04/06/2021,1.3823,1617667200.0
212,04/07/2021,1.3734,1617753600.0
213,04/08/2021,1.3733,1617840000.0
214,04/09/2021,1.3733,1617926400.0
215,04/11/2021,1.3708,1618099200.0
216,04/12/2021,1.374,1618185600.0
217,04/13/2021,1.3748,1618272000.0
218,04/14/2021,1.3778,1618358400.0
219,04/15/2021,1.3786,1618444800.0
220,04/16/2021,1.3786,1618531200.0
221,04/18/2021,1.383,1618704000.0
222,04/19/2021,1.3983,1618790400.0
223,04/20/2021,1.3936,1618876800.0
224,04/21/2021,1.3929,1618963200.0
225,04/22/2021,1.3836,1619049600.0
226,04/23/2021,1.3836,1619136000.0
227,04/25/2021,1.3875,1619308800.0
228,04/26/2021,1.3896,1619395200.0
229,04/27/2021,1.3912,1619481600.0
230,04/28/2021,1.3932,1619568000.0
231,04/29/2021,1.394,1619654400.0
232,04/30/2021,1.394,1619740800.0
233,05/02/2021,1.3814,1619913600.0
234,05/03/2021,1.3909,1620000000.0
235,05/04/2021,1.3885,1620086400.0
236,05/05/2021,1.3903,1620172800.0
237,05/06/2021,1.3885,1620259200.0
238,05/07/2021,1.3885,1620345600.0
239,05/09/2021,1.3972,1620518400.0
240,05/10/2021,1.412,1620604800.0
241,05/11/2021,1.4141,1620691200.0
242,05/12/2021,1.4052,1620777600.0
243,05/13/2021,1.405,1620864000.0
244,05/14/2021,1.405,1620950400.0
245,05/16/2021,1.4096,1621123200.0
246,05/17/2021,1.4134,1621209600.0
247,05/18/2021,1.4187,1621296000.0
248,05/19/2021,1.4113,1621382400.0
249,05/20/2021,1.4189,1621468800.0
250,05/21/2021,1.4189,1621555200.0
251,05/23/2021,1.4147,1621728000.0
252,05/24/2021,1.4155,1621814400.0
253,05/25/2021,1.4151,1621900800.0
254,05/26/2021,1.4118,1621987200.0
255,05/27/2021,1.4205,1622073600.0
256,05/28/2021,1.4205,1622160000.0
257,05/30/2021,1.4187,1622332800.0
258,05/31/2021,1.4209,1622419200.0
259,06/01/2021,1.4146,1622505600.0
260,06/02/2021,1.4168,1622592000.0
261,06/03/2021,1.4103,1622678400.0
262,06/04/2021,1.4103,1622764800.0
263,06/06/2021,1.4154,1622937600.0
264,06/07/2021,1.4178,1623024000.0
265,06/08/2021,1.4155,1623110400.0
266,06/09/2021,1.4118,1623196800.0
267,06/10/2021,1.4173,1623283200.0
268,06/11/2021,1.4173,1623369600.0
269,06/13/2021,1.4106,1623542400.0
270,06/14/2021,1.4112,1623628800.0
271,06/15/2021,1.408,1623715200.0
272,06/16/2021,1.3987,1623801600.0
273,06/17/2021,1.3919,1623888000.0
274,06/18/2021,1.3919,1623974400.0
275,06/20/2021,1.3808,1624147200.0
276,06/21/2021,1.3929,1624233600.0
277,06/22/2021,1.3947,1624320000.0
278,06/23/2021,1.3959,1624406400.0
279,06/24/2021,1.3922,1624492800.0
280,06/25/2021,1.3922,1624579200.0
281,06/27/2021,1.3877,1624752000.0
282,06/28/2021,1.3883,1624838400.0
283,06/29/2021,1.3835,1624924800.0
284,06/30/2021,1.3827,1625011200.0
285,07/01/2021,1.3767,1625097600.0
286,07/02/2021,1.3767,1625184000.0
287,07/04/2021,1.3821,1625356800.0
288,07/05/2021,1.3845,1625443200.0
289,07/06/2021,1.3799,1625529600.0
290,07/07/2021,1.38,1625616000.0
291,07/08/2021,1.3785,1625702400.0
292,07/09/2021,1.3785,1625788800.0
293,07/11/2021,1.3899,1625961600.0
294,07/12/2021,1.388,1626048000.0
295,07/13/2021,1.3808,1626134400.0
296,07/14/2021,1.3856,1626220800.0
297,07/15/2021,1.3828,1626307200.0
298,07/16/2021,1.3828,1626393600.0
299,07/18/2021,1.3772,1626566400.0
300,07/19/2021,1.3672,1626652800.0
301,07/20/2021,1.3626,1626739200.0
302,07/21/2021,1.371,1626825600.0
303,07/22/2021,1.3763,1626912000.0
304,07/23/2021,1.3763,1626998400.0
305,07/25/2021,1.3745,1627171200.0
306,07/26/2021,1.3816,1627257600.0
307,07/27/2021,1.3874,1627344000.0
308,07/28/2021,1.3898,1627430400.0
309,07/29/2021,1.3961,1627516800.0
310,07/30/2021,1.3961,1627603200.0
311,08/01/2021,1.3901,1627776000.0
312,08/02/2021,1.3881,1627862400.0
313,08/03/2021,1.3914,1627948800.0
314,08/04/2021,1.3885,1628035200.0
315,08/05/2021,1.3928,1628121600.0
316,08/06/2021,1.3928,1628208000.0
317,08/08/2021,1.3871,1628380800.0
318,08/09/2021,1.3844,1628467200.0
319,08/10/2021,1.3843,1628553600.0
320,08/11/2021,1.3872,1628640000.0
321,08/12/2021,1.3804,1628726400.0
322,08/13/2021,1.3804,1628812800.0
323,08/15/2021,1.3863,1628985600.0
324,08/16/2021,1.385,1629072000.0
325,08/17/2021,1.3739,1629158400.0
326,08/18/2021,1.3755,1629244800.0
327,08/19/2021,1.3638,1629331200.0
328,08/20/2021,1.3638,1629417600.0
329,08/22/2021,1.3621,1629590400.0
330,08/23/2021,1.3717,1629676800.0
331,08/24/2021,1.3727,1629763200.0
332,08/25/2021,1.3759,1629849600.0
333,08/26/2021,1.3759,1629936000.0
334,08/27/2021,1.3699,1630022400.0
335,08/29/2021,1.3763,1630195200.0
336,08/30/2021,1.3758,1630281600.0
337,08/31/2021,1.3754,1630368000.0
338,09/01/2021,1.3768,1630454400.0
339,09/02/2021,1.3829,1630540800.0
340,09/03/2021,1.3829,1630627200.0
341,09/06/2021,1.3834,1630886400.0
